CoV ID,Collision Time Range,Collision Date,Modes,Injury Type,Age,Gender,Latitude,Longitude
6,21:00-23:59,1/5/2008,Veh-Ped,Minor,20-29,F,49.2712729,-123.1825622
7,21:00-23:59,1/2/2008,Single Cyl,Minor,30-39,M,49.27081775,-123.114945
10,21:00-23:59,1/5/2008,Veh-Ped,Minor,40-49,M,49.23278912,-123.0501378
11,3:00-5:59,1/5/2008,Ped-Unk,Severe,70+,F,49.23594287,-123.042316
16,21:00-23:59,1/9/2008,Veh-Ped,Minor,20-29,F,49.31555276,-123.138343
17,18:00-20:59,1/9/2008,Veh-Ped,Minor,20-29,F,49.2596221,-123.0775552
20,18:00-20:59,1/10/2008,Veh-Ped,Minor,40-49,M,49.24050232,-123.1014864
21,18:00-20:59,1/10/2008,Veh-Ped,Minor,50-59,F,49.22466219,-123.032207
30,18:00-20:59,1/13/2008,Veh-Ped,Minor,20-29,F,49.28122081,-123.0934318
47,15:00-17:59,1/23/2008,Veh-Ped,Minor,20-29,M,49.21834046,-123.1377856
55,12:00-14:59,1/28/2008,Veh-Cyl,Minor,20-29,M,49.27277625,-123.1000281
64,21:00-23:59,2/1/2008,Single Cyl,Minor,30-39,M,49.28123468,-123.0703897
69,15:00-17:59,2/6/2008,Veh-Cyl,Severe,50-59,M,49.24516447,-123.0651533
73,12:00-14:59,2/10/2008,Veh-Cyl,Minor,20-29,F,49.26444809,-123.1008951
75,15:00-17:59,2/11/2008,Veh-Ped,Minor,20-29,F,49.26916794,-123.1006969
78,9:00-11:59,2/12/2008,Ped-Unk,Severe,40-49,F,49.26171104,-123.1386286
80,15:00-17:59,2/12/2008,Veh-Ped,Minor,70+,M,49.26340646,-123.1265892
82,,2/13/2008,Veh-Cyl,Severe,20-29,M,49.26407036,-123.1681743
85,12:00-14:59,2/13/2008,Veh-Ped,Minor,40-49,F,49.22257623,-123.1376215
86,15:00-17:59,2/14/2008,Cyl-Unk,Minor,20-29,M,49.26556168,-123.0236652
97,12:00-14:59,2/17/2008,Veh-Ped,Severe,50-59,M,49.22696578,-123.1398433
101,15:00-17:59,2/20/2008,Veh-Cyl,Severe,50-59,M,49.24328535,-123.1013584
102,21:00-23:59,2/21/2008,Veh-Cyl,Minor,20-29,F,49.28435544,-123.121207
103,15:00-17:59,2/21/2008,Veh-Ped,Minor,30-39,M,49.26641004,-123.1008131
104,15:00-17:59,2/21/2008,Veh-Ped,Minor,70+,M,49.28435544,-123.121207
105,6:00-8:59,2/22/2008,Veh-Ped,Minor,20-29,F,49.26802663,-123.1456455
107,15:00-17:59,2/22/2008,Veh-Ped,Severe,40-49,M,49.27538156,-123.0454827
111,21:00-23:59,2/25/2008,Veh-Cyl,Minor,30-39,M,49.27326263,-123.0441544
117,18:00-20:59,2/27/2008,Veh-Ped,Minor,30-39,M,49.21845771,-123.1018948
121,9:00-11:59,2/28/2008,Veh-Cyl,Minor,40-49,M,49.26641004,-123.1008131
123,18:00-20:59,2/29/2008,Veh-Ped,Severe,60-69,M,49.21693867,-123.1168544
124,21:00-23:59,3/1/2008,Veh-Ped,Minor,20-29,M,49.27535672,-123.1327891
126,12:00-14:59,3/1/2008,Veh-Cyl,Minor,40-49,F,49.22737265,-123.090706
127,12:00-14:59,3/2/2008,Cyl-Unk,Severe,30-39,M,49.22929438,-123.0431213
132,9:00-11:59,3/3/2008,Veh-Ped,Minor,50-59,F,49.24143454,-123.1278187
138,15:00-17:59,2/21/2008,Veh-Ped,Minor,30-39,M,49.22701823,-123.1283046
139,15:00-17:59,3/4/2008,Cyl-Unk,Minor,40-49,F,49.26152507,-123.0891346
143,9:00-11:59,3/7/2008,Veh-Cyl,Minor,20-29,F,49.21816705,-123.0830913
148,,2/29/2008,Veh-Ped,Minor,30-39,M,49.28318941,-123.0995671
