CoV ID,Collision Time Range,Collision Date,Modes,Injury Type,Age,Gender,Latitude,Longitude
11,3:00-5:59,1/5/2008,Ped-Unk,Severe,70+,F,49.23594287,-123.042316
69,15:00-17:59,2/6/2008,Veh-Cyl,Severe,50-59,M,49.24516447,-123.0651533
78,9:00-11:59,2/12/2008,Ped-Unk,Severe,40-49,F,49.26171104,-123.1386286
82,,2/13/2008,Veh-Cyl,Severe,20-29,M,49.26407036,-123.1681743
97,12:00-14:59,2/17/2008,Veh-Ped,Severe,50-59,M,49.22696578,-123.1398433
101,15:00-17:59,2/20/2008,Veh-Cyl,Severe,50-59,M,49.24328535,-123.1013584
107,15:00-17:59,2/22/2008,Veh-Ped,Severe,40-49,M,49.27538156,-123.0454827
123,18:00-20:59,2/29/2008,Veh-Ped,Severe,60-69,M,49.21693867,-123.1168544
127,12:00-14:59,3/2/2008,Cyl-Unk,Severe,30-39,M,49.22929438,-123.0431213
173,6:00-8:59,3/19/2008,Veh-Ped,Severe,60-69,M,49.21083567,-123.0983775
179,21:00-23:59,3/20/2008,Veh-Ped,Severe,0-19,M,49.31555276,-123.138343
222,21:00-23:59,4/11/2008,Veh-Ped,Severe,20-29,F,49.27047382,-123.0657348
225,15:00-17:59,4/13/2008,Veh-Ped,Severe,70+,F,49.20292174,-123.077401
237,12:00-14:59,4/16/2008,Single Cyl,Severe,60-69,F,49.22170636,-123.1400535
296,0:00-2:59,5/10/2008,Veh-Ped,Severe,20-29,M,49.26586624,-123.1185906
308,21:00-23:59,5/13/2008,Veh-Ped,Severe,70+,M,49.26363738,-123.1410197
352,18:00-20:59,6/19/2008,Cyl-Unk,Severe,20-29,M,49.21693867,-123.1168544
355,18:00-20:59,6/20/2008,Cyl-Unk,Severe,20-29,F,49.2620134,-123.0508914
358,15:00-17:59,6/19/2008,Single Cyl,Severe,50-59,M,49.26423534,-123.0774644
369,21:00-23:59,6/24/2008,Veh-Ped,Severe,60-69,F,49.22581867,-123.1084144
376,6:00-8:59,6/26/2008,Veh-Cyl,Severe,30-39,M,49.2101449,-123.1171107
400,9:00-11:59,7/4/2008,Veh-Ped,Severe,30-39,F,49.2848084,-123.0596994
409,9:00-11:59,7/9/2008,Cyl-Unk,Severe,20-29,M,49.27156176,-123.13456
412,15:00-17:59,7/7/2008,Veh-Ped,Severe,70+,F,49.26231941,-123.0697627
478,6:00-8:59,8/2/2008,Veh-Cyl,Severe,30-39,M,49.25568046,-123.1012663
489,,8/5/2008,Veh-Cyl,Severe,50-59,M,49.24356487,-123.0618096
501,,8/8/2008,Veh-Ped,Severe,70+,F,49.28111793,-123.0235783
502,12:00-14:59,8/7/2008,Veh-Cyl,Severe,20-29,M,49.25011309,-123.0760987
512,,8/11/2008,Cyl-Unk,Severe,20-29,M,49.24000921,-123.0540294
514,18:00-20:59,8/13/2008,Single Cyl,Severe,20-29,M,49.23271452,-123.077031
516,,8/13/2008,Single Cyl,Severe,30-39,M,49.25151822,-123.0237291
536,9:00-11:59,8/17/2008,Veh-Ped,Severe,70+,F,49.28132157,-123.0770929
548,18:00-20:59,8/25/2008,Veh-Cyl,Severe,20-29,M,49.28336823,-123.1091831
560,18:00-20:59,8/30/2008,Single Cyl,Severe,20-29,M,49.24020915,-123.076405
562,12:00-14:59,8/31/2008,Single Cyl,Severe,20-29,M,49.26231941,-123.0697627
567,21:00-23:59,9/3/2008,Cyl-Unk,Severe,0-19,M,49.28133561,-123.0996488
576,12:00-14:59,9/7/2008,Cyl-Unk,Severe,30-39,M,49.26225375,-123.0609892
580,6:00-8:59,9/9/2008,Veh-Ped,Severe,70+,F,49.2694567,-123.0236427
585,9:00-11:59,9/10/2008,Veh-Ped,Severe,50-59,F,49.27277625,-123.1000281
590,15:00-17:59,9/12/2008,Veh-Ped,Severe,40-49,M,49.26035063,-123.1095621
591,12:00-14:59,9/13/2008,Single Cyl,Severe,30-39,M,49.26528825,-123.1348472
616,6:00-8:59,9/21/2008,Veh-Ped,Severe,60-69,F,49.2694567,-123.0236427
623,21:00-23:59,9/22/2008,Veh-Ped,Severe,50-59,F,49.20292174,-123.077401
626,15:00-17:59,9/26/2008,Veh-Ped,Severe,0-19,F,49.23209854,-123.0278777
638,18:00-20:59,10/2/2008,Single Cyl,Severe,40-49,M,49.27015192,-123.10257
653,9:00-11:59,10/5/2008,Veh-Ped,Severe,60-69,F,49.22391404,-123.1284112
657,12:00-14:59,10/7/2008,Single Cyl,Severe,50-59,M,49.26620292,-123.0546949
665,9:00-11:59,10/11/2008,Single Cyl,Severe,50-59,M,49.27966862,-123.1204281
668,18:00-20:59,10/13/2008,Veh-Ped,Severe,0-19,M,49.19938176,-123.135837
679,6:00-8:59,10/16/2008,Ped-Unk,Severe,70+,F,49.26263193,-123.0959911
681,18:00-20:59,10/17/2008,Veh-Ped,Severe,20-29,M,49.26556168,-123.0236652
