identifier,latitude_start,longitude_start,routeName,latitude_end,longitude_end,,Lat_Difference,Lon_Difference,Sum
102,49.21361995,-123.0801264,Inverness,49.22360789,-123.0801151,Inverness,9987.938839,11.243792,9999.182631
3799,49.26901693,-123.2092655,4th Ave,49.26885584,-123.1994676,4th Ave,161.0896882,9797.883411,9958.973099
421,49.2263045,-123.0974969,Prince Edward,49.23586481,-123.0971022,Prince Edward,9560.311133,394.676975,9954.988108
431,49.23906991,-123.0969772,Prince Edward,49.22970136,-123.0973547,Prince Edward,9368.556965,377.522865,9746.07983
5526,49.21082979,-123.1370083,67TH Ave,49.21068695,-123.1274065,67TH Ave,142.8383782,9601.842886,9744.681264
1774,49.20832048,-123.070067,Fraser River Trail,49.20607992,-123.0625878,Fraser River Trail,2240.561495,7479.188726,9719.750221
1900,49.28462456,-123.0378347,Hastings Park,49.2812082,-123.0440764,Hastings Park,3416.357485,6241.748267,9658.105752
23,49.29407268,-123.1372954,Alberni,49.29029244,-123.1314546,Alberni,3780.243523,5840.798228,9621.041751
127,49.21118982,-123.0798977,Inverness,49.22041294,-123.0802371,Inverness,9223.119831,339.464055,9562.583886
479,49.25559469,-123.0337888,Rupert St,49.24611994,-123.0338292,Rupert St,9474.75309,40.333375,9515.086465
2084,49.26661655,-123.1148794,Cambie Bridge,49.27577928,-123.1146205,Cambie Bridge,9162.726191,258.849893,9421.576084
98,49.22431167,-123.0800889,Inverness,49.21497166,-123.0801104,Inverness,9340.014643,21.576862,9361.591505
636,49.25063921,-123.0467474,22nd Ave,49.25063869,-123.0561041,22nd Ave,0.521768996,9356.682306,9357.204075
216,49.21334517,-123.1064819,63rd Ave,49.21318464,-123.1156649,63rd Ave,160.5268586,9183.021261,9343.54812
3760,49.26840308,-123.1187067,Seaside,49.26812418,-123.127725,Seaside,278.897501,9018.320209,9297.21771
5113,49.27188212,-123.1643914,Valley,49.26304874,-123.1647072,Valley,8833.379355,315.759336,9149.138691
5512,49.21077152,-123.1329329,67TH Ave,49.21063551,-123.1241223,67TH Ave,136.0099046,8810.596078,8946.605983
2461,49.28319054,-123.1312326,Comox-Helmcken,49.28662639,-123.1365397,Comox-Helmcken,3435.854274,5307.063998,8742.918272
704,49.28636349,-123.1174813,Pender,49.28294727,-123.1122019,Pender,3416.220296,5279.347619,8695.567915
4490,49.2164819,-123.0414652,Kerr St,49.22474191,-123.0410467,Kerr St,8260.003388,418.445038,8678.448426
61,49.28750829,-123.0607709,Portside,49.29089487,-123.0554874,Portside,3386.575646,5283.491042,8670.066688
46,49.28974519,-123.042248,Portside,49.29205124,-123.0485461,Portside,2306.052968,6298.183463,8604.236431
1329,49.25792912,-123.1851123,Dunbar,49.2494902,-123.1852061,Dunbar,8438.922672,93.75939101,8532.682063
439,49.23293363,-123.097217,Prince Edward,49.22488319,-123.0975389,Prince Edward,8050.43536,321.990407,8372.425767
478,49.24729153,-123.0338176,Rupert St,49.25559469,-123.0337888,Rupert St,8303.165927,28.785579,8331.951506
496,49.25514178,-123.0337921,Rupert St,49.24687269,-123.0338216,Rupert St,8269.092853,29.47858401,8298.571437
4455,49.20640786,-123.0621804,Kent,49.20589006,-123.0544351,Kent,517.7991655,7745.389166,8263.188332
59,49.29062691,-123.056733,Portside,49.28698965,-123.0611835,Portside,3637.261878,4450.571401,8087.833279
738,49.26142089,-123.0639753,Central Valley,49.26371797,-123.0697361,Central Valley,2297.082643,5760.790592,8057.873235
483,49.2481889,-123.0338112,Rupert St,49.25613733,-123.0337823,Rupert St,7948.429355,28.919256,7977.348611
435,49.22099914,-123.0976443,Prince Edward,49.22870381,-123.0973975,Prince Edward,7704.662949,246.851133,7951.514082
3021,49.24954452,-123.1852057,Dunbar,49.25739876,-123.1851176,Dunbar,7854.242136,88.04534001,7942.287476
501,49.25723128,-123.0337784,Rupert St,49.24935934,-123.0338061,Rupert St,7871.941064,27.660421,7899.601485
130,49.23283027,-123.079794,Inverness,49.22523356,-123.0800545,Inverness,7596.712472,260.424658,7857.13713
2208,49.27575018,-123.1064394,Carrall,49.28147314,-123.1043454,Carrall,5722.962923,2094.00188,7816.964803
344,49.25060014,-123.0337634,22nd Ave,49.25065385,-123.0260257,22nd Ave,53.70670949,7737.713031,7791.41974
2754,49.20606839,-123.1173415,Cambie,49.21320308,-123.1167124,Cambie,7134.694596,629.038755,7763.733351
1613,49.25919318,-123.2030175,Ridgeway,49.25810096,-123.1965622,Ridgeway,1092.21772,6455.335147,7547.552867
445,49.21842287,-123.0977516,Prince Edward,49.22570913,-123.0975226,Prince Edward,7286.263821,228.998686,7515.262507
112,49.22321006,-123.0801302,Inverness,49.23046162,-123.0798792,Inverness,7251.560808,250.998266,7502.559074
3219,49.28481887,-123.0616354,Lakewood,49.27750562,-123.0617448,Lakewood,7313.254224,109.357129,7422.611353
593,49.2325098,-123.1154897,42nd Ave,49.23228401,-123.1083027,42nd Ave,225.790798,7186.932817,7412.723615
138,49.22585555,-123.0800356,Inverness,49.21851572,-123.0800638,Inverness,7339.826922,28.245325,7368.072247
734,49.26016071,-123.0608343,Central Valley,49.26226672,-123.0660837,Central Valley,2106.007434,5249.343837,7355.351271
4017,49.27069446,-123.1475955,Seaside Bypass,49.27117025,-123.1407612,Seaside Bypass,475.7925045,6834.343436,7310.135941
4917,49.21324584,-123.1465896,Cypress,49.21053892,-123.1420338,Cypress,2706.918385,4555.837548,7262.755933
2879,49.26750724,-123.1130578,Yukon,49.26036007,-123.1130055,Yukon,7147.170472,52.366175,7199.536647
625,49.25062408,-123.0442014,22nd Ave,49.25066176,-123.0513493,22nd Ave,37.6756205,7147.881195,7185.556816
63,49.29106914,-123.0546341,Portside,49.28890261,-123.0596391,Portside,2166.531007,5004.94611,7171.477116
137,49.21884427,-123.0800591,Inverness,49.22585555,-123.0800356,Inverness,7011.280236,23.555045,7034.835281
