,UNIQUE_ID,ROUTE_NAM,STREET_NAM,TPL_TYPE,STATUS,LENGTH,YEAR_CONST,DIRECTION,STREET_TYP,POINT_X,POINT_Y,newLong,newLat
0,1,Burrard Brdg,Burrard Bridge,Protected Bike Lanes,Active,1059,1990,NS,Arterial,490371.98730000015,5458254.468100004,-123.13236912635398,49.27697067579196
1,1,Burrard Brdg,Burrard Bridge,Protected Bike Lanes,Active,1059,1990,NS,Arterial,490314.2913700938,5458224.5320409965,-123.1331616220478,49.276700484780186
2,1,Burrard Brdg,Burrard Bridge,Protected Bike Lanes,Active,1059,1990,NS,Arterial,490256.3375576893,5458195.098121317,-123.13395766671373,49.27643480104076
3,1,Burrard Brdg,Burrard Bridge,Protected Bike Lanes,Active,1059,1990,NS,Arterial,490198.20505053364,5458166.01981551,-123.13475616824243,49.2761723077506
4,1,Burrard Brdg,Burrard Bridge,Protected Bike Lanes,Active,1059,1990,NS,Arterial,490140.0006300416,5458137.0846218,-123.13555565348022,49.27591109509405
5,1,Burrard Brdg,Burrard Bridge,Protected Bike Lanes,Active,1059,1990,NS,Arterial,490081.79620954953,5458108.1494280845,-123.13635513026581,49.275649876901305
6,1,Burrard Brdg,Burrard Bridge,Protected Bike Lanes,Active,1059,1990,NS,Arterial,490023.4630512204,5458079.476299262,-123.13715637500404,49.27539100838725
7,1,Burrard Brdg,Burrard Bridge,Protected Bike Lanes,Active,1059,1990,NS,Arterial,489964.98745668307,5458051.093120376,-123.13795957680308,49.275134740120876
8,1,Burrard Brdg,Burrard Bridge,Protected Bike Lanes,Active,1059,1990,NS,Arterial,489906.51186214667,5458022.70994149,-123.13876277027104,49.27487846626726
9,1,Burrard Brdg,Burrard Bridge,Protected Bike Lanes,Active,1059,1990,NS,Arterial,489848.03626761027,5457994.326762607,-123.13956595540795,49.274622186826605
10,1,Burrard Brdg,Burrard Bridge,Protected Bike Lanes,Active,1059,1990,NS,Arterial,489789.56067307387,5457965.943583721,-123.14036913221365,49.27436590179895
11,1,Burrard Brdg,Burrard Bridge,Protected Bike Lanes,Active,1059,1990,NS,Arterial,489731.08507853746,5457937.560404835,-123.14117230068817,49.27410961118452
12,1,Burrard Brdg,Burrard Bridge,Protected Bike Lanes,Active,1059,1990,NS,Arterial,489672.60948400106,5457909.177225949,-123.14197546083135,49.27385331498344
13,1,Burrard Brdg,Burrard Bridge,Protected Bike Lanes,Active,1059,1990,NS,Arterial,489614.13388946466,5457880.794047069,-123.14277861264317,49.27359701319594
14,1,Burrard Brdg,Burrard Bridge,Protected Bike Lanes,Active,1059,1990,NS,Arterial,489555.65829492826,5457852.410868183,-123.14358175612352,49.273340705822044
15,1,Burrard Brdg,Burrard Bridge,Protected Bike Lanes,Active,1059,1990,NS,Arterial,489497.18270039186,5457824.027689297,-123.14438489127237,49.27308439286195
16,1,Burrard Brdg,Burrard Bridge,Protected Bike Lanes,Active,1059,1990,NS,Arterial,489438.70710585546,5457795.644510411,-123.14518801808963,49.27282807431583
